url,volume,market_cap,company,symbol,news_url
/equities/siemens-energy-india-bo,34730,8.8371E+11,Siemens Energy India,SIEE,/equities/siemens-energy-india-bo-news
/equities/mankind-pharma,12058,8.6722E+11,Mankind Pharma,MNKI,/equities/mankind-pharma-news
/equities/swiggy,41695914,8.4989E+11,Swiggy,SWIG,/equities/swiggy-news
/equities/srf,426581,8.3245E+11,SRF,SRFL,/equities/srf-news
/equities/oil-india,12028407,8.3022E+11,Oil India,OILI,/equities/oil-india-news
/equities/alstom-india-ltd,1229094,8.2611E+11,GE Vernova T&D,GETD,/equities/alstom-india-ltd-news
/equities/abb-power-products-and-systems,150302,8.1665E+11,Hitachi Energy India,HITN,/equities/abb-power-products-and-systems-news
/equities/jsw-energy,3023985,8.0685E+11,JSW Energy,JSWE,/equities/jsw-energy-news
/equities/info-edge-(india),2685297,8.0661E+11,Info Edge India,INED,/equities/info-edge-(india)-news
/equities/havells-india,2002060,8.0396E+11,Havells India,HVEL,/equities/havells-india-news
/equities/waaree-energies,946856,7.9058E+11,Waaree Energies,WAAN,/equities/waaree-energies-news
/equities/nhpc,14584257,7.8532E+11,NHPC,NHPC,/equities/nhpc-news
/equities/bharti-hexacom,332685,7.7985E+11,Bharti Hexacom,BHAX,/equities/bharti-hexacom-news
/equities/ntpc-green-energy,15002180,7.78E+11,NTPC Green Energy,NTPG,/equities/ntpc-green-energy-news
/equities/lenskart-solutions-pvt,856869,7.741E+11,Lenskart Solutions,LENS,/equities/lenskart-solutions-pvt-news
/equities/pb-fintech,2230103,7.6119E+11,PB Fintech,PBFI,/equities/pb-fintech-news
/equities/meesho-ltd,3689876,7.5902E+11,Meesho,MEES,/equities/meesho-ltd-news
/equities/one-97-communications,7377268,7.4727E+11,One 97 Communications,PAYT,/equities/one-97-communications-news
/equities/bank-of-india,11736534,7.4656E+11,Bank of India,BOI,/equities/bank-of-india-news
/equities/bajaj-housing-finance,25585905,7.3341E+11,Bajaj Housing Finance,BAJO,/equities/bajaj-housing-finance-news
/equities/sbi-cards-and-payment-services-ltd,3416794,7.321E+11,SBI Cards,SBIC,/equities/sbi-cards-and-payment-services-ltd-news
/equities/au-small-finance-bank-ltd,2978565,7.3122E+11,AU Small Finance Bank,AUFI,/equities/au-small-finance-bank-ltd-news
/equities/idfc-bank-ltd,42058731,7.1696E+11,IDFC First Bank,IDFB,/equities/idfc-bank-ltd-news
/equities/rail-vikas-nigam-ltd,14048559,7.1193E+11,Rail Vikas Nigam,RAIV,/equities/rail-vikas-nigam-ltd-news
/equities/nmdc,44472018,7.1126E+11,NMDC,NMDC,/equities/nmdc-news
/equities/the-federal-bank,4286394,7.0815E+11,Federal Bank,FED,/equities/the-federal-bank-news
/equities/lt-finance-holdings-ltd,4445140,7.0694E+11,L&T Finance,LTFL,/equities/lt-finance-holdings-ltd-news
/equities/national-aluminium,40709006,7.0095E+11,National Aluminium Co,NALU,/equities/national-aluminium-news
/equities/torrent-power,559322,6.9942E+11,Torrent Power Ltd,TOPO,/equities/torrent-power-news
/equities/indusind-bank,2867342,6.9564E+11,IndusInd Bank,INBK,/equities/indusind-bank-news
/equities/aurobindo-pharma,8127226,6.9563E+11,Aurobindo Pharma,ARBN,/equities/aurobindo-pharma-news
/equities/bharat-forge,1048256,6.8811E+11,Bharat Forge,BFRG,/equities/bharat-forge-news
/equities/indian-overseas-bank,8698940,6.8515E+11,Indian Overseas Bank,IOBK,/equities/indian-overseas-bank-news
/equities/jindal-stainless,1630943,6.8326E+11,Jindal Stainless,JIST,/equities/jindal-stainless-news
/equities/minda-industries-ltd,1033856,6.8212E+11,Uno Minda,UNOI,/equities/minda-industries-ltd-news
/equities/fsn-ecommerce-ventures,8061305,6.8081E+11,Fsn E-Commerce Ventures,FSNE,/equities/fsn-ecommerce-ventures-news
/equities/alkem-laboratories-ltd,160841,6.7752E+11,Alkem Laboratories Ltd,ALKE,/equities/alkem-laboratories-ltd-news
/equities/oracle-financial-software,100253,6.7503E+11,Oracle,ORCL,/equities/oracle-financial-software-news
/equities/yes-bank,81922208,6.7308E+11,Yes Bank,YESB,/equities/yes-bank-news
/equities/general-insurance-corporation-of-in,551438,6.6316E+11,General Insurance India,GENA,/equities/general-insurance-corporation-of-in-news
/equities/coromandel-international,435048,6.6253E+11,Coromandel Int,CORF,/equities/coromandel-international-news
/equities/hindustan-copper-ltd,113198070,6.5284E+11,Hindustan Copper,HCPR,/equities/hindustan-copper-ltd-news
/equities/suzlon-energy,60762661,6.5205E+11,Suzlon Energy,SUZL,/equities/suzlon-energy-news
/equities/fortis-healthcare-(india),2077023,6.4247E+11,Fortis Healthcare,FOHE,/equities/fortis-healthcare-(india)-news
/equities/multi-commodity-exchange-of-india,7639727,6.3569E+11,Multi Commodity Exchange,MCEI,/equities/multi-commodity-exchange-of-india-news
/equities/dixon-technologies,1996677,6.3198E+11,Dixon Tech,DIXO,/equities/dixon-technologies-news
/equities/prestige-estates-projects,1053441,6.2891E+11,Prestige Estates,PREG,/equities/prestige-estates-projects-news
/equities/steel-authority-of-india,33012904,6.2214E+11,Steel Authority,SAIL,/equities/steel-authority-of-india-news
/equities/upl-ltd,0,6.0419E+11,UPL Ltd,UPLLpp,/equities/upl-ltd-news
/equities/the-phoenix-mills,835130,5.9689E+11,Phoenix Mills,PHOE,/equities/the-phoenix-mills-news
/equities/hdb-financial-services-ltd,1120828,5.941E+11,HDB Financial Services,HDBF,/equities/hdb-financial-services-ltd-news
/equities/biocon,1851119,5.9346E+11,Biocon,BION,/equities/biocon-news
/equities/sundaram-finance,138068,5.9218E+11,Sundaram Finance,SNFN,/equities/sundaram-finance-news
/equities/united-phosphorus,4668042,5.9199E+11,UPL,UPLL,/equities/united-phosphorus-news
/equities/abbott-india-ltd,17026,5.8807E+11,Abbott India,ABOT,/equities/abbott-india-ltd-news
/equities/lloyds-metals-and-energy-ltd,40306,5.82E+11,Lloyds Metals And Energy,LYMT,/equities/lloyds-metals-and-energy-ltd-news
/equities/adani-gas,355049,5.7949E+11,Adani Total Gas,ADAG,/equities/adani-gas-news
/equities/colgate-palmolive-(india),1227051,5.7392E+11,Colgate-Palmolive India,COLG,/equities/colgate-palmolive-(india)-news
/equities/vishal-mega-mart,13754541,5.6927E+11,Vishal Mega Mart,VSSL,/equities/vishal-mega-mart-news
/equities/glenmark-pharmaceuticals,554016,5.6895E+11,Glenmark Pharma,GLEN,/equities/glenmark-pharmaceuticals-news
/equities/apl-apollo-tubes-ltd,1175836,5.6777E+11,APL Apollo Tubes Ltd,APLA,/equities/apl-apollo-tubes-ltd-news
/equities/bharat-dynamics-ltd,2524633,5.6234E+11,Bharat Dynamics,BARA,/equities/bharat-dynamics-ltd-news
/equities/fag-bearings-india,119564,5.6229E+11,Schaeffler India,SCHE,/equities/fag-bearings-india-news
/equities/mrf,18857,5.6199E+11,M.R.F.,MRF,/equities/mrf-news
/equities/reliance-nippon-life,3696740,5.5567E+11,Nippon India,NIPF,/equities/reliance-nippon-life-news
/equities/niit-technologies-ltd,1487848,5.5404E+11,Coforge,COFO,/equities/niit-technologies-ltd-news
/equities/max-india,714787,5.5164E+11,Max Financial,MAXI,/equities/max-india-news
/equities/ruchi-soya-industries,3154894,5.4402E+11,Patanjali Foods,PAFO,/equities/ruchi-soya-industries-news
/equities/oberoi-realty,661202,5.418E+11,Oberoi Realty,OEBO,/equities/oberoi-realty-news
/equities/jsw-infrastructure,710415,5.3984E+11,JSW Infrastructure,JSWN,/equities/jsw-infrastructure-news
/equities/berger-paints-(i),262316,5.394E+11,Berger Paints,BRGR,/equities/berger-paints-(i)-news
/equities/knowledge-realty-trust-reit-ltd,699272,5.2978E+11,Knowledge Realty,KNOE,/equities/knowledge-realty-trust-reit-ltd-news
/equities/fertilisers-chemicals-travancore,145258,5.2895E+11,Fertilisers Chemicals Travancore,FCTL,/equities/fertilisers-chemicals-travancore-news
/equities/mphasis,550213,5.2537E+11,Mphasis,MBFL,/equities/mphasis-news
/equities/laurus-labs-ltd,1976994,5.1999E+11,Laurus Labs,LAUL,/equities/laurus-labs-ltd-news
/equities/mahindra---mahindra-financials,4371676,5.1522E+11,Mahindra & Mahindra Financial,MMFS,/equities/mahindra---mahindra-financials-news
/equities/boc-india,17611,5.1196E+11,Linde India,LIND,/equities/boc-india-news
/equities/bank-of-maharashtra,19871420,5.0264E+11,Bank of Maharashtra,BMBK,/equities/bank-of-maharashtra-news
/equities/indian-railway-catering-and-tourism,1818270,4.9228E+11,Indian Railway Catering,INIR,/equities/indian-railway-catering-and-tourism-news
/equities/p-i-industr,185708,4.8457E+11,PI Industries,PIIL,/equities/p-i-industr-news
/equities/godrej-properties,1924460,4.7488E+11,Godrej Properties,GODR,/equities/godrej-properties-news
/equities/iifl-wealth-management-ltd,959196,4.606E+11,360 One Wam,ONEW,/equities/iifl-wealth-management-ltd-news
/equities/tube-invest-india,505180,4.5183E+11,Tube Invest India,TBEI,/equities/tube-invest-india-news
/equities/motilal-oswal-financials,2420773,4.4965E+11,Motilal Oswal,MOFS,/equities/motilal-oswal-financials-news
/equities/tata-communications,482770,4.4793E+11,Tata Communications,TATA,/equities/tata-communications-news
/equities/supreme-industries,578316,4.456E+11,Supreme Industries,SUPI,/equities/supreme-industries-news
/equities/balkrishna-industries-ltd,606036,4.4467E+11,Balkrishna Industries,BLKI,/equities/balkrishna-industries-ltd-news
/equities/voltas,1448958,4.3809E+11,Voltas,VOLT,/equities/voltas-news
/equities/cochin-shipyard,1986637,4.36E+11,Cochin Shipyard,COCH,/equities/cochin-shipyard-news
/equities/petronet-lng,3193737,4.3268E+11,Petronet LNG,PLNG,/equities/petronet-lng-news
/equities/authum-investment---infrastructure,14486,4.2971E+11,Authum Investment & Infrastructure,AUTH,/equities/authum-investment---infrastructure-news
/equities/j.k.-cement-ltd,152541,4.2706E+11,J K Cement,JKCE,/equities/j.k.-cement-ltd-news
/equities/hexaware-technologies,1398797,4.2474E+11,Hexaware Technologies,HEXW,/equities/hexaware-technologies-news
/equities/embassy-office-parks-reit,730820,4.1436E+11,Embassy Office,EMBA,/equities/embassy-office-parks-reit-news
/equities/gsk-pharmaceuticals,109753,4.0661E+11,GlaxoSmithkline Pharma,GLAX,/equities/gsk-pharmaceuticals-news
/equities/piramal-finance-bo,273317,3.9675E+11,Piramal Finance,PIRL,/equities/piramal-finance-bo-news
/equities/astral-poly-technik-ltd,371018,3.9535E+11,Astral Ltd,ASTL,/equities/astral-poly-technik-ltd-news
/equities/lt-technology-services-ltd-ns,61047,3.9431E+11,L&T Technology Services,LTEH,/equities/lt-technology-services-ltd-ns-news
/equities/united-breweries,145408,3.8838E+11,United Breweries Ltd,UBBW,/equities/united-breweries-news
/equities/ocl-india-ltd,258368,3.8747E+11,Dalmia Bharat B,DALB,/equities/ocl-india-ltd-news
/equities/3m-india,4490,3.869E+11,3M India,TMIN,/equities/3m-india-news
/equities/procter-gamble-hygiene,43830,3.8482E+11,Procter & Gamble Hygiene,PROC,/equities/procter-gamble-hygiene-news
/equities/housing-and-urban-development,12256692,3.834E+11,Housing Urban Develop,HUDC,/equities/housing-and-urban-development-news
/equities/kei-industries-ltd,430431,3.83E+11,KEI Industries Ltd,KEIN,/equities/kei-industries-ltd-news
/equities/container-corporation-of-india,2721298,3.8252E+11,Container Corp India,CCRI,/equities/container-corporation-of-india-news
/equities/kalyan-jewellers-india,4146294,3.8043E+11,Kalyan Jewellers India,KALN,/equities/kalyan-jewellers-india-news
/equities/radico-khaitan,626081,3.7862E+11,Radico Khaitan,RADC,/equities/radico-khaitan-news
/equities/escorts,142539,3.7816E+11,Escorts Kubota,ESCO,/equities/escorts-news
/equities/ipca-laboratories,238850,3.7485E+11,Ipca Laboratories,IPCA,/equities/ipca-laboratories-news
/equities/indian-renewable-energy,6513022,3.7436E+11,Indian Renewable Energy,INAR,/equities/indian-renewable-energy-news
/equities/blue-star-infotech,1269386,3.7354E+11,Blue Star,BLUS,/equities/blue-star-infotech-news
/equities/aia-engineering,139733,3.7109E+11,AIA Engineering,AIAE,/equities/aia-engineering-news
/equities/itc-hotels-bo,5003334,3.7059E+11,ITC Hotels,ITCT,/equities/itc-hotels-bo-news
/equities/uco-bank,7594933,3.6653E+11,UCO Bank,UCBK,/equities/uco-bank-news
/equities/page-industries,21403,3.664E+11,Page Industries,PAGE,/equities/page-industries-news
/equities/neyveli-lignite-corporation,2927529,3.5879E+11,NLC India,NLCI,/equities/neyveli-lignite-corporation-news
/equities/narayana-hrudayalaya-ltd,217003,3.5851E+11,Narayana Hrudayalaya,NARY,/equities/narayana-hrudayalaya-ltd-news
/equities/physicswallah,1974674,3.4805E+11,Physicswallah,PHYS,/equities/physicswallah-news
/equities/ajanta-pharma-ltd,183417,3.4508E+11,Ajanta Pharma Ltd,AJPH,/equities/ajanta-pharma-ltd-news
/equities/endurance-technologies-cn-ltd,66541,3.4164E+11,Endurance Technologies Cn,ENDU,/equities/endurance-technologies-cn-ltd-news
/equities/crisil,35018,3.406E+11,CRISIL,CRSL,/equities/crisil-news
/equities/central-bank-of-india,8898237,3.3916E+11,CBI,CBI,/equities/central-bank-of-india-news
/equities/gujarat-fluorochemicals,101248,3.3475E+11,Gujarat Fluorochemicals,GUJL,/equities/gujarat-fluorochemicals-news
/equities/anthem-biosciences,182653,3.3295E+11,Anthem BioSciences,ANTH,/equities/anthem-biosciences-news
/equities/tata-elxsi-limited,166386,3.3191E+11,Tata Elxsi,TTEX,/equities/tata-elxsi-limited-news
